lat,lon,002_max,003_max,004_max,005_max,006_max,007_max,008_max,009_max,010_max,011_max,012_max,013_max,014_max,015_max,016_max,017_max,018_max,019_max,020_max,021_max,022_max,023_max,024_max,025_max,026_max,027_max,028_max,029_max,030_max,031_max,032_max,033_max
-54.18848037719727,292.5,290.6911952,290.7940768,290.98062000000004,290.9703088,290.687822,290.839344,290.7511856,290.7872916,290.6915360000001,290.6994991999999,291.53493879999996,291.68107040000007,290.33727400000004,291.0240372,290.6607052,290.71015079999995,291.2760968,290.751636,290.433942,291.2833328,290.8833428,291.06212639999995,290.6107768,290.6594207999999,291.047928,290.5281412,290.838718,291.3155196000001,291.10569,290.9906252,290.688378,290.9038816
-53.24607467651367,288.75,290.54070079999997,291.433216,290.5937184,291.05713199999997,290.42335199999997,290.85947719999996,290.201504,290.3538932,290.741524,290.29695200000003,290.84767600000004,291.8124964,290.3027576,290.8411592,290.290462,290.14384240000004,290.9629128,290.4059148,290.2810264,290.5821988,290.7383056,290.7884728,290.0876024,290.1639312000001,290.7245836,290.1257964,290.6501108,291.188468,290.5633792,290.41042799999997,290.528376,290.911884
-53.24607467651367,290.0,291.3860888,292.0686604,291.5696080000001,292.0832688,291.4644484,291.67329800000005,291.22166799999997,291.4336184,291.4240496,291.268684,292.16949600000004,292.7123984,291.0272288,291.5949188,291.4189072000001,291.3874448,291.8877848000001,291.2048832,291.06003880000003,291.9426068,291.6131696,291.7198812000001,291.374028,290.9422888,291.5381456,291.0259528000001,291.5877352,292.1105152,291.7582592,291.7634420000001,291.4895988,291.612664
-53.24607467651367,291.25,291.6056964,291.74183880000004,291.813888,291.8263948,291.6864164000001,291.75149000000005,291.6579104,291.5506624,291.313668,291.475742,292.388356,292.7436992,291.2491952000001,291.6208216,291.6311988,291.8304488,291.9959664,291.7594556,291.50100960000003,292.12823000000003,291.7301156,291.85821,291.4297672,291.4376272,291.618604,291.3904512000001,292.0614384,292.1626212,292.25441559999996,291.697134,291.5528816,291.7138616
-52.30366516113281,291.25,294.0870196,293.6950624,294.0893092,293.734418,293.9641840000001,293.7382276,293.801986,293.7618344,293.2595496,293.4412676,294.3272684,294.6368008,293.45835800000003,293.73047520000006,293.82680159999995,294.0050912,294.040164,293.5275764,294.0657012,294.11974,293.7342472,293.98349440000004,293.7966384,293.68852680000003,293.9501224000001,293.521134,294.10569440000006,294.50653439999996,294.18413200000003,293.7408196,293.779674,294.20656
-51.36125564575195,291.25,295.71359839999997,295.6212268,296.023278,295.997656,295.9767092,295.8117888,295.4735256,295.8145624,295.5778088,295.48080000000004,296.244416,296.292012,295.5870020000001,295.73123799999996,295.7653024,295.9266572,296.3450668,295.5697328,296.0057864,296.0179992,295.7244012,296.0866752,295.72871999999995,295.9562744,296.14351320000003,295.5843032,296.33950799999997,296.7633576,296.52159720000003,295.7789504,295.8877072,295.7224812000001
-46.64921569824219,168.75,293.38768120000003,293.528592,293.419524,293.520908,293.3722172,293.16399320000005,293.1449824,293.77199360000003,293.3175,293.14968,293.62701880000003,293.23319119999996,293.5426168,293.2768572,293.4880044,293.13157559999996,293.4076784,293.0202728000001,293.5700284,293.4602188,293.4329712,293.640768,293.2945736,293.3199056,293.4594176,293.56798599999996,292.7478464,292.9495768,293.6709524000001,294.0355132,293.41066159999997,293.662124
-45.70680618286133,170.0,294.13529800000003,294.1107952,293.9975228,294.07535279999996,293.91858080000003,294.0066664,294.0781352,294.1950536,294.139088,293.77399679999996,294.433906,294.10949999999997,294.0559156,294.1267752,294.23712560000007,294.2318228,294.043836,293.9159384,294.223972,293.962692,294.0179992,294.2615236,293.87476960000004,294.2583992,294.447696,294.2430992,293.802006,293.79053680000004,294.29470399999997,294.531164,294.3606072,294.1605944
-45.70680618286133,171.25,295.5863584,295.4251068,295.2241112000001,295.322356,295.37606640000007,295.3170224,295.6684344000001,295.5249976,295.44826400000005,295.0793928,295.67930160000003,295.4899084,295.38204559999997,295.45961439999996,295.5800828,295.6261204000001,295.352724,295.2093088,295.52946,295.3678984,295.6251648,295.6579664,295.2048416,295.47500479999997,295.6700728,295.49100720000007,295.12245440000004,295.45736,295.9166652,295.7520388,295.2637632,295.3318464
-45.70680618286133,287.5,296.5279508,295.9088448,296.8232456,296.7087696,297.19071920000005,296.8598536,296.0576224,296.73768240000004,295.61030239999997,296.0045872,297.2772644,296.987432,296.43157080000003,296.8944056000001,296.95669200000003,296.229892,296.7206792,295.6722336000001,296.0620784,296.41126479999997,296.7952972,296.76169760000005,296.60542319999996,296.3985920000001,296.65244320000005,296.634212,296.12443479999996,296.8736348,297.29678079999996,296.6050776000001,296.7816696,296.4374216
