lat,lon,002_min,003_min,004_min,005_min,006_min,007_min,008_min,009_min,010_min,011_min,012_min,013_min,014_min,015_min,016_min,017_min,018_min,019_min,020_min,021_min,022_min,023_min,024_min,025_min,026_min,027_min,028_min,029_min,030_min,031_min,032_min,033_min
42.879581451416016,0.0,291.9809712,291.3638352,291.4733452,291.4219964,292.5446096,291.1177932,291.5903052000001,291.74121560000003,292.436416,291.8927112,291.1104668,292.0820728,291.7665688,291.7034552,292.0190168,292.0295848,291.86860160000003,292.356824,292.092608,291.74936879999996,292.10238,291.6551588,292.00836680000003,291.353686,291.546502,291.53788000000003,291.9663184,291.5835424000001,291.59009,291.4381288,291.9721128,291.8167212
42.879581451416016,1.25,293.0025008,292.57213759999996,292.4252524,292.58916600000003,293.809528,292.0657896000001,292.7361336,292.8553844,293.8100528,292.9887204,291.99716040000004,293.2227476,293.00782599999997,292.5644208,292.8188192,293.19842639999996,293.0142712,293.30286159999997,293.10929999999996,292.9713176,293.46419599999996,293.00177520000005,293.1670904,292.3463792,292.6621744,292.6572324,293.2008132,292.7408952,292.697208,292.6633784,293.3091824,292.991196
42.879581451416016,2.5,294.8839212,294.414366,294.21040079999995,294.846648,295.70422,293.9095648,294.63558720000003,294.924648,295.43529839999997,294.7722544,293.94314479999997,295.4644452000001,294.6960772,294.3816228,294.71597840000004,295.18122400000004,294.924234,295.1261,295.13203599999997,294.8929016,295.4596508,294.63298480000003,294.90976600000005,294.396186,294.331344,294.4863292,295.1086688,294.4820216000001,294.449696,294.498716,295.36351759999997,294.4135368
42.879581451416016,3.75,297.5089152000001,297.188888,296.9548116,297.4094008,298.136128,296.87276560000004,297.50474199999996,297.6738888,297.8337724000001,297.4559152,296.8260544,298.2494059999999,297.5885824,297.3955568,297.4797648,298.062744,297.4780808,297.426772,297.5985188,297.6904752,297.58823760000007,297.470344,297.8424932,297.13584000000003,297.154386,297.05733480000004,297.57519599999995,297.0828928,297.39486239999997,297.1454544,297.79371360000005,297.3263832
42.879581451416016,6.25,299.524588,299.39754480000005,299.1177492,299.46658840000003,299.98302240000004,298.5928664,299.5829752,299.5092784,299.5859208,299.4271696,298.688158,299.6278612,299.5696031999999,299.24636280000004,299.2926624,299.9788888000001,299.279426,299.65454800000003,299.781164,299.4560884,299.5579264,299.51460280000003,299.97092799999996,299.0052776,299.0038048,299.1500352,299.2145056000001,299.0313344,299.4453288,299.0140924,299.5332696,299.0024988
42.879581451416016,7.5,299.2320344,299.3625244,298.9514548,299.0942004,299.8242028,298.4217288,299.5286024,299.35508799999997,299.3876024,299.315774,298.54888239999997,299.4927908,299.300468,298.9596524000001,299.16262720000003,299.8899992,299.4281908,299.4335212,299.45417840000005,299.4860496,299.4518056000001,299.3854776,299.661496,298.9340928,298.88636959999997,299.0202408,299.0932592,298.9054072,299.6722824,298.733154,299.5846620000001,298.7955112
42.879581451416016,10.0,298.2724832,298.726968,298.10846799999996,298.512374,299.04093359999996,297.7484132,298.6181232,298.6686416,298.504856,298.4079892,297.8150488,298.8044432,298.79811440000003,298.3810764,298.37018639999997,299.131954,298.378968,298.6535888,298.6464292,298.6681264,298.62552320000003,298.57567040000004,299.0498184,297.937128,297.9839732,298.1197124,298.2893568,298.1166664,298.7317984,298.083872,298.582804,298.1946568
42.879581451416016,11.25,297.3774952,298.1721,297.1738576,297.593128,298.3795652,296.6806584,297.8842908,297.69786,297.7006316,297.5082792,296.9504184,297.9366532000001,297.88674,297.4773584,297.459116,298.4277948,297.56667600000003,297.9242504,297.8980656,298.0924088,297.946912,297.65921840000004,298.17498320000004,297.0823632000001,297.059916,297.34009319999996,297.5672,297.2518188,298.0561368,297.1649276,297.590744,297.219016
42.879581451416016,12.5,296.94706080000003,297.0569256,296.1731136,296.82689760000005,297.491454,295.35726,297.08535120000005,296.3729324,296.7261424,297.26715360000003,296.18424799999997,296.7107244,296.8009588,296.3404748,296.22892160000004,297.8779816000001,296.877504,297.39767,297.0222892,296.94451200000003,297.1865576,297.1290936,297.2941408,296.06618160000005,296.1442488,296.6202728,296.558566,296.1653368,297.0568184,296.6576112,296.894272,295.9654904
42.879581451416016,13.75,298.9371136,298.636156,297.95134,298.8359992000001,299.0610792000001,297.498456,298.6055696,298.21030279999997,298.504568,298.9940484,297.749072,298.16974799999997,298.9567988,298.25206679999997,298.00851040000003,299.3420552,298.57914800000003,299.0716216,299.3256864,298.6548128,299.25972320000005,299.1080288,298.9265008,298.3132164,297.8319832,298.3862704,298.4373736,297.8582176,298.609056,298.4801728,298.9394184,298.1004168
42.879581451416016,16.25,301.471212,301.2952032,300.6706628,301.38097799999997,301.66256,300.0580676,301.5141816,300.8800176000001,300.994298,301.6613752000001,300.45177720000004,300.96071839999996,301.7098744,300.79906239999997,300.5540484,302.3596564,301.1372192000001,301.537444,301.91978400000005,301.711008,301.958436,301.85116480000005,301.5930936000001,300.7237512000001,300.6310832,300.887024,301.0622552,300.5929256,301.3791832,301.1091312,301.2528168,300.4433616
42.879581451416016,17.5,301.1209712,300.89770960000004,300.09442720000004,300.75540000000007,301.30700720000004,299.7503272,300.815544,300.123482,300.4734448,301.2248424,299.9603768,300.5732008,300.9296048000001,300.2007432,299.9947864,301.964032,300.42452040000006,300.98574240000005,301.5747176,301.178808,301.31484000000006,301.5407328,300.9073456,300.16668920000006,299.94498,300.32412519999997,300.58199200000007,300.193516,300.839606,300.6265412,300.9969,300.03256960000004
42.879581451416016,18.75,297.9772648,298.10593680000005,297.01928,297.85210559999996,298.1765288,296.6200328,297.62221960000005,296.8553344,297.27495960000005,297.9420776,297.069738,297.145964,298.1107652,296.68107960000003,296.5002504,298.53049360000006,296.8567184,297.99161039999996,298.30623360000004,297.6797244,298.6072564,298.272242,297.6330448,296.9193336,296.7817032000001,297.69271960000003,297.4072944,296.725632,297.9046968,297.64525760000004,298.2851,296.5945968
42.879581451416016,20.0,295.1307596,295.4573604000001,294.3766964,295.24641959999997,295.3367696,293.8219696,294.8030576,294.1995808,294.4752952000001,295.20802,294.0477696,294.1446696,295.02048759999997,293.74697519999995,293.691118,295.64011200000004,293.972916,294.74335679999996,295.7860536,295.3262768,296.0671368,295.4736060000001,294.7571616,294.0859416,294.2163088,295.29699519999997,294.5734696,293.974512,294.8653552,294.8968712,295.7947712,293.7672228
